metric,value,unit,availability,source
total_revenue,25171468.0,USD,available,Revenue
total_expenses,23658971.0,USD,available,Expenses
net_operating_result,1512497.0,USD,available,Revenue - Expenses
revenue_budget_variance,-828532.0,USD,available,Budget_vs_Actual
revenue_budget_variance_pct,-0.03186661538461538,ratio,available,Budget_vs_Actual
expense_budget_variance,318971.0,USD,available,Budget_vs_Actual
expense_budget_variance_pct,0.013666281062553557,ratio,available,Budget_vs_Actual
payroll_total,10710112.0,USD,available,Payroll
payroll_percentage_of_revenue,0.4254861893632902,ratio,available,Payroll / Revenue
student_payment_collection_rate,0.9750632260301682,ratio,available,Student_Payments
overdue_payment_percentage,0.026041666666666668,ratio,available,Student_Payments
vendor_payment_total,12948859.0,USD,available,Vendor_Payments
scholarship_awarded_total,2207799.0,USD,available,Scholarships
net_cash_flow,-1899352.0,USD,available,Cash_Flow
ending_cash,3950648.0,USD,available,Cash_Flow
