period,month,department,revenue_category,budget_revenue,actual_revenue,variance,variance_pct
2026-01-01,January,Engineering,Tuition,455400,447658,-7742,-0.01700043917435222
2026-01-01,January,Engineering,Research Grants,172500,175087,2587,0.01499710144927536
2026-01-01,January,Engineering,Other Revenue,62100,61790,-310,-0.00499194847020934
2026-02-01,February,Engineering,Tuition,485760,475073,-10687,-0.02200057641633728
2026-02-01,February,Engineering,Research Grants,184000,185840,1840,0.01
2026-02-01,February,Engineering,Other Revenue,66240,65578,-662,-0.009993961352657005
2026-03-01,March,Engineering,Tuition,546480,530086,-16394,-0.0299992680427463
2026-03-01,March,Engineering,Research Grants,207000,207414,414,0.002
2026-03-01,March,Engineering,Other Revenue,74520,73179,-1341,-0.0179951690821256
2026-04-01,April,Engineering,Tuition,516120,497540,-18580,-0.03599937998914981
2026-04-01,April,Engineering,Research Grants,195500,194718,-782,-0.004
2026-04-01,April,Engineering,Other Revenue,70380,68691,-1689,-0.02399829497016198
2026-05-01,May,Engineering,Tuition,503976,481801,-22175,-0.04400011111640237
2026-05-01,May,Engineering,Research Grants,190900,188609,-2291,-0.01200104766893662
2026-05-01,May,Engineering,Other Revenue,68724,66525,-2199,-0.0319975554391479
2026-06-01,June,Engineering,Tuition,473616,434779,-38837,-0.08200103037059558
2026-06-01,June,Engineering,Research Grants,179400,170430,-8970,-0.05
2026-06-01,June,Engineering,Other Revenue,64584,60063,-4521,-0.0700018580453363
2026-07-01,July,Engineering,Tuition,425040,401663,-23377,-0.0549995294560512
2026-07-01,July,Engineering,Research Grants,161000,157297,-3703,-0.023
2026-07-01,July,Engineering,Other Revenue,57960,55468,-2492,-0.0429951690821256
2026-08-01,August,Engineering,Tuition,431112,409125,-21987,-0.05100066803985971
2026-08-01,August,Engineering,Research Grants,163300,160197,-3103,-0.01900183710961421
2026-08-01,August,Engineering,Other Revenue,58788,56495,-2293,-0.03900455875348711
2026-09-01,September,Engineering,Tuition,607200,581090,-26110,-0.04300065876152832
2026-09-01,September,Engineering,Research Grants,230000,227470,-2530,-0.011
2026-09-01,September,Engineering,Other Revenue,82800,80233,-2567,-0.0310024154589372
2026-10-01,October,Engineering,Tuition,576840,554920,-21920,-0.03800013868663754
2026-10-01,October,Engineering,Research Grants,218500,217189,-1311,-0.006
2026-10-01,October,Engineering,Other Revenue,78660,76615,-2045,-0.02599796592931604
2026-11-01,November,Engineering,Tuition,534336,516169,-18167,-0.03399920649179543
2026-11-01,November,Engineering,Research Grants,202400,201995,-405,-0.00200098814229249
2026-11-01,November,Engineering,Other Revenue,72864,71261,-1603,-0.02199989020641194
2026-12-01,December,Engineering,Tuition,516120,500636,-15484,-0.03000077501356274
2026-12-01,December,Engineering,Research Grants,195500,195891,391,0.002
2026-12-01,December,Engineering,Other Revenue,70380,69113,-1267,-0.01800227337311736
2026-01-01,January,Business,Tuition,417075,409985,-7090,-0.01699934064616676
2026-01-01,January,Business,Research Grants,35175,35703,528,0.01501066098081023
2026-01-01,January,Business,Other Revenue,50250,49999,-251,-0.004995024875621891
2026-02-01,February,Business,Tuition,444880,435093,-9787,-0.02199919079302284
2026-02-01,February,Business,Research Grants,37520,37895,375,0.009994669509594883
2026-02-01,February,Business,Other Revenue,53600,53064,-536,-0.01
2026-03-01,March,Business,Tuition,500490,485475,-15015,-0.03000059941257567
2026-03-01,March,Business,Research Grants,42210,42294,84,0.001990049751243781
2026-03-01,March,Business,Other Revenue,60300,59215,-1085,-0.01799336650082919
2026-04-01,April,Business,Tuition,472685,455668,-17017,-0.03600071929509081
2026-04-01,April,Business,Research Grants,39865,39706,-159,-0.003988461056064217
2026-04-01,April,Business,Other Revenue,56950,55583,-1367,-0.0240035118525022
2026-05-01,May,Business,Tuition,461563,441254,-20309,-0.04400049397373706
2026-05-01,May,Business,Research Grants,38927,38460,-467,-0.01199681455031212
2026-05-01,May,Business,Other Revenue,55610,53830,-1780,-0.03200863154108973
2026-06-01,June,Business,Tuition,433758,398190,-35568,-0.08199964035245459
2026-06-01,June,Business,Research Grants,36582,34753,-1829,-0.04999726641517686
2026-06-01,June,Business,Other Revenue,52260,48602,-3658,-0.0699961729812476
2026-07-01,July,Business,Tuition,389270,367860,-21410,-0.05500038533665579
2026-07-01,July,Business,Research Grants,32830,32075,-755,-0.02299725860493451
2026-07-01,July,Business,Other Revenue,46900,44883,-2017,-0.04300639658848614
2026-08-01,August,Business,Tuition,394831,374695,-20136,-0.05099903503017747
2026-08-01,August,Business,Research Grants,33299,32666,-633,-0.01900957986726328
2026-08-01,August,Business,Other Revenue,47570,45715,-1855,-0.03899516501997057
2026-09-01,September,Business,Tuition,556100,532188,-23912,-0.04299946052868189
2026-09-01,September,Business,Research Grants,46900,46384,-516,-0.01100213219616205
2026-09-01,September,Business,Other Revenue,67000,64923,-2077,-0.031
2026-10-01,October,Business,Tuition,528295,508220,-20075,-0.03799960249481824
2026-10-01,October,Business,Research Grants,44555,44288,-267,-0.005992593423858153
2026-10-01,October,Business,Other Revenue,63650,61995,-1655,-0.02600157109190888
2026-11-01,November,Business,Tuition,489368,472729,-16639,-0.03400099720455772
2026-11-01,November,Business,Research Grants,41272,41189,-83,-0.002011048652839698
2026-11-01,November,Business,Other Revenue,58960,57663,-1297,-0.02199796472184532
2026-12-01,December,Business,Tuition,472685,458504,-14181,-0.03000095200820843
