invoice_id,student_id,department,billing_period,due_date,payment_date,amount_due,amount_paid,outstanding,status,days_overdue
INV-2026_01-001,ENG-FR-001,Engineering,January,2026-01-20,2026-01-25,83160,79002,4158,Collected,0
INV-2026_01-002,ENG-SO-002,Engineering,January,2026-01-20,2026-01-25,83160,79002,4158,Collected,0
INV-2026_01-003,ENG-JU-003,Engineering,January,2026-01-20,2026-01-25,83160,79002,4158,Collected,0
INV-2026_01-004,ENG-SE-004,Engineering,January,2026-01-20,2026-01-25,83160,79002,4158,Collected,0
INV-2026_01-005,BUS-FR-005,Business,January,2026-01-20,2026-01-25,75600,71820,3780,Collected,0
INV-2026_01-006,BUS-SO-006,Business,January,2026-01-20,2026-01-25,75600,71820,3780,Collected,0
INV-2026_01-007,BUS-JU-007,Business,January,2026-01-20,2026-01-25,75600,71820,3780,Collected,0
INV-2026_01-008,BUS-SE-008,Business,January,2026-01-20,2026-01-25,75600,71820,3780,Collected,0
INV-2026_01-009,HEA-FR-009,Health Sciences,January,2026-01-20,2026-01-25,98280,93366,4914,Collected,0
INV-2026_01-010,HEA-SO-010,Health Sciences,January,2026-01-20,2026-01-25,98280,93366,4914,Collected,0
INV-2026_01-011,HEA-JU-011,Health Sciences,January,2026-01-20,2026-01-25,98280,93366,4914,Collected,0
INV-2026_01-012,HEA-SE-012,Health Sciences,January,2026-01-20,2026-01-25,98280,93366,4914,Collected,0
INV-2026_01-013,ART-FR-013,Arts & Humanities,January,2026-01-20,2026-01-25,52920,50274,2646,Collected,0
INV-2026_01-014,ART-SO-014,Arts & Humanities,January,2026-01-20,2026-01-25,52920,50274,2646,Collected,0
INV-2026_01-015,ART-JU-015,Arts & Humanities,January,2026-01-20,2026-01-25,52920,50274,2646,Collected,0
INV-2026_01-016,ART-SE-016,Arts & Humanities,January,2026-01-20,2026-01-25,52920,50274,2646,Collected,0
INV-2026_01-017,STU-FR-017,Student Services,January,2026-01-20,2026-01-25,37800,35910,1890,Collected,0
INV-2026_01-018,STU-SO-018,Student Services,January,2026-01-20,2026-01-25,37800,35910,1890,Collected,0
INV-2026_01-019,STU-JU-019,Student Services,January,2026-01-20,2026-01-25,37800,35910,1890,Collected,0
INV-2026_01-020,STU-SE-020,Student Services,January,2026-01-20,2026-01-25,37800,35910,1890,Collected,0
INV-2026_01-021,ADM-FR-021,Administration,January,2026-01-20,2026-01-25,30240,28728,1512,Collected,0
INV-2026_01-022,ADM-SO-022,Administration,January,2026-01-20,2026-01-25,30240,28728,1512,Collected,0
INV-2026_01-023,ADM-JU-023,Administration,January,2026-01-20,2026-01-25,30240,28728,1512,Collected,0
INV-2026_01-024,ADM-SE-024,Administration,January,2026-01-20,2026-01-25,30240,28728,1512,Collected,0
