period,month,department,expense_category,budget_expense,actual_expense,variance,variance_pct
2026-06-01,June,Engineering,Payroll,273768,278696,4928,0.01800064288010286
2026-06-01,June,Engineering,Facilities,99552,131409,31857,0.3200036162005786
2026-06-01,June,Engineering,Equipment,99552,147337,47785,0.4800004018000643
2026-06-01,June,Engineering,Technology,62220,73420,11200,0.1800064288010286
2026-06-01,June,Engineering,Supplies,49776,57740,7964,0.1599967855994857
2026-06-01,June,Engineering,Services,37332,45594,8262,0.2213114754098361
2026-06-01,June,Business,Payroll,192372,195835,3463,0.01800158027155719
2026-06-01,June,Business,Facilities,75276,76631,1355,0.01800042510229024
2026-06-01,June,Business,Equipment,33456,34058,602,0.01799378287900526
2026-06-01,June,Business,Technology,41820,42573,753,0.01800573888091822
2026-06-01,June,Business,Supplies,29274,29801,527,0.01800232288037166
2026-06-01,June,Business,Services,46002,46830,828,0.01799921742532933
2026-06-01,June,Health Sciences,Payroll,254745,342000,87255,0.3425189895778131
2026-06-01,June,Health Sciences,Facilities,101898,103732,1834,0.01799839054741015
2026-06-01,June,Health Sciences,Equipment,79254,80681,1427,0.01800540035834153
2026-06-01,June,Health Sciences,Technology,33966,34577,611,0.01798857681210623
2026-06-01,June,Health Sciences,Supplies,67932,69155,1223,0.01800329741506212
2026-06-01,June,Health Sciences,Services,28305,28814,509,0.01798268857092386
2026-06-01,June,Administration,Payroll,177378,180571,3193,0.01800110498483465
2026-06-01,June,Administration,Facilities,90576,96000,5424,0.0598834128245893
2026-06-01,June,Administration,Equipment,15096,15368,272,0.01801801801801802
2026-06-01,June,Administration,Technology,30192,30735,543,0.01798489666136725
2026-06-01,June,Administration,Supplies,18870,19210,340,0.01801801801801802
2026-06-01,June,Administration,Services,45288,46103,815,0.01799593711358417
