invoice_id,student_id,department,billing_period,due_date,payment_date,amount_due,amount_paid,outstanding,status,days_overdue
INV-06-ENG-001,STU-01241,Engineering,2026-06-01,2026-06-12,2026-06-11,25740,25740,0,Paid,0
INV-06-ENG-002,STU-01242,Engineering,2026-06-01,2026-06-13,2026-07-20,27799,9730,18069,Overdue - Partial,31
INV-06-ENG-003,STU-01243,Engineering,2026-06-01,2026-06-14,2026-06-11,29858,29858,0,Paid,0
INV-06-ENG-004,STU-01244,Engineering,2026-06-01,2026-06-15,2026-06-11,31918,31918,0,Paid,0
INV-06-ENG-005,STU-01245,Engineering,2026-06-01,2026-06-16,2026-06-15,33977,33977,0,Paid,0
INV-06-ENG-006,STU-01246,Engineering,2026-06-01,2026-06-17,2026-06-15,25740,25740,0,Paid,0
INV-06-ENG-007,STU-01247,Engineering,2026-06-01,2026-06-18,,27799,0,27799,Overdue,36
INV-06-ENG-008,STU-01248,Engineering,2026-06-01,2026-06-19,2026-06-15,29858,29858,0,Paid,0
INV-06-ENG-009,STU-01249,Engineering,2026-06-01,2026-06-12,2026-06-11,31918,31918,0,Paid,0
INV-06-ENG-010,STU-01250,Engineering,2026-06-01,2026-06-13,2026-06-11,33977,33977,0,Paid,0
INV-06-ENG-011,STU-01251,Engineering,2026-06-01,2026-06-14,2026-06-11,25740,25740,0,Paid,0
INV-06-ENG-012,STU-01252,Engineering,2026-06-01,2026-06-15,,27799,0,27799,Overdue,41
INV-06-ENG-013,STU-01253,Engineering,2026-06-01,2026-06-16,2026-06-15,29858,29858,0,Paid,0
INV-06-ENG-014,STU-01254,Engineering,2026-06-01,2026-06-17,2026-06-15,31918,31918,0,Paid,0
INV-06-ENG-015,STU-01255,Engineering,2026-06-01,2026-06-18,2026-06-15,33977,33977,0,Paid,0
INV-06-ENG-016,STU-01256,Engineering,2026-06-01,2026-06-19,2026-06-15,25740,25740,0,Paid,0
INV-06-BUS-001,STU-01257,Business,2026-06-01,2026-06-12,2026-06-11,23574,23574,0,Paid,0
INV-06-BUS-002,STU-01258,Business,2026-06-01,2026-06-13,2026-07-20,25460,8911,16549,Overdue - Partial,31
INV-06-BUS-003,STU-01259,Business,2026-06-01,2026-06-14,2026-06-11,27346,27346,0,Paid,0
INV-06-BUS-004,STU-01260,Business,2026-06-01,2026-06-15,2026-06-11,29231,29231,0,Paid,0
INV-06-BUS-005,STU-01261,Business,2026-06-01,2026-06-16,2026-06-15,31117,31117,0,Paid,0
INV-06-BUS-006,STU-01262,Business,2026-06-01,2026-06-17,2026-06-15,23574,23574,0,Paid,0
INV-06-BUS-007,STU-01263,Business,2026-06-01,2026-06-18,,25460,0,25460,Overdue,36
INV-06-BUS-008,STU-01264,Business,2026-06-01,2026-06-19,2026-06-15,27346,27346,0,Paid,0
INV-06-BUS-009,STU-01265,Business,2026-06-01,2026-06-12,2026-06-11,29231,29231,0,Paid,0
INV-06-BUS-010,STU-01266,Business,2026-06-01,2026-06-13,2026-06-11,31117,31117,0,Paid,0
INV-06-BUS-011,STU-01267,Business,2026-06-01,2026-06-14,2026-06-11,23574,23574,0,Paid,0
INV-06-BUS-012,STU-01268,Business,2026-06-01,2026-06-15,,25460,0,25460,Overdue,41
INV-06-BUS-013,STU-01269,Business,2026-06-01,2026-06-16,2026-06-15,27346,27346,0,Paid,0
INV-06-BUS-014,STU-01270,Business,2026-06-01,2026-06-17,2026-06-15,29231,29231,0,Paid,0
INV-06-BUS-015,STU-01271,Business,2026-06-01,2026-06-18,2026-06-15,31117,31117,0,Paid,0
INV-06-BUS-016,STU-01272,Business,2026-06-01,2026-06-19,2026-06-15,23574,23574,0,Paid,0
INV-06-HEA-001,STU-01273,Health Sciences,2026-06-01,2026-06-12,2026-06-11,24036,24036,0,Paid,0
INV-06-HEA-002,STU-01274,Health Sciences,2026-06-01,2026-06-13,2026-07-20,25959,9086,16873,Overdue - Partial,31
INV-06-HEA-003,STU-01275,Health Sciences,2026-06-01,2026-06-14,2026-06-11,27882,27882,0,Paid,0
INV-06-HEA-004,STU-01276,Health Sciences,2026-06-01,2026-06-15,2026-06-11,29804,29804,0,Paid,0
INV-06-HEA-005,STU-01277,Health Sciences,2026-06-01,2026-06-16,2026-06-15,31727,31727,0,Paid,0
INV-06-HEA-006,STU-01278,Health Sciences,2026-06-01,2026-06-17,2026-06-15,24036,24036,0,Paid,0
INV-06-HEA-007,STU-01279,Health Sciences,2026-06-01,2026-06-18,,25959,0,25959,Overdue,36
INV-06-HEA-008,STU-01280,Health Sciences,2026-06-01,2026-06-19,2026-06-15,27882,27882,0,Paid,0
INV-06-HEA-009,STU-01281,Health Sciences,2026-06-01,2026-06-12,2026-06-11,29804,29804,0,Paid,0
INV-06-HEA-010,STU-01282,Health Sciences,2026-06-01,2026-06-13,2026-06-11,31727,31727,0,Paid,0
INV-06-HEA-011,STU-01283,Health Sciences,2026-06-01,2026-06-14,2026-06-11,24036,24036,0,Paid,0
INV-06-HEA-012,STU-01284,Health Sciences,2026-06-01,2026-06-15,,25959,0,25959,Overdue,41
INV-06-HEA-013,STU-01285,Health Sciences,2026-06-01,2026-06-16,2026-06-15,27882,27882,0,Paid,0
INV-06-HEA-014,STU-01286,Health Sciences,2026-06-01,2026-06-17,2026-06-15,29804,29804,0,Paid,0
INV-06-HEA-015,STU-01287,Health Sciences,2026-06-01,2026-06-18,2026-06-15,31727,31727,0,Paid,0
INV-06-HEA-016,STU-01288,Health Sciences,2026-06-01,2026-06-19,2026-06-15,24036,24036,0,Paid,0
