period,month,department,revenue_category,budget_revenue,actual_revenue,variance,variance_pct
2026-12-01,December,Engineering,Tuition,376215.84,391264.47,15048.63,0.04
2026-12-01,December,Engineering,Grants,57879.36,60194.53,2315.17,0.04
2026-12-01,December,Engineering,Auxiliary,33762.96,35113.48,1350.52,0.04
2026-12-01,December,Engineering,Donations,14469.84,15048.63,578.79,0.04
2026-12-01,December,Business,Tuition,342014.4,355694.98,13680.58,0.04
2026-12-01,December,Business,Grants,52617.6,54722.3,2104.7,0.04
2026-12-01,December,Business,Auxiliary,30693.6,31921.34,1227.74,0.04
2026-12-01,December,Business,Donations,13154.4,13680.58,526.18,0.04
2026-12-01,December,Health Sciences,Tuition,444618.72,462403.47,17784.75,0.04
2026-12-01,December,Health Sciences,Grants,68402.88,71139.0,2736.12,0.04
2026-12-01,December,Health Sciences,Auxiliary,39901.68,41497.75,1596.07,0.04
2026-12-01,December,Health Sciences,Donations,17100.72,17784.75,684.03,0.04
2026-12-01,December,Arts & Humanities,Tuition,239410.08,248986.48,9576.4,0.04
2026-12-01,December,Arts & Humanities,Grants,36832.32,38305.61,1473.29,0.04
2026-12-01,December,Arts & Humanities,Auxiliary,21485.52,22344.94,859.42,0.04
2026-12-01,December,Arts & Humanities,Donations,9208.08,9576.4,368.32,0.04
2026-12-01,December,Student Services,Tuition,171007.2,177847.49,6840.29,0.04
2026-12-01,December,Student Services,Grants,26308.8,27361.15,1052.35,0.04
2026-12-01,December,Student Services,Auxiliary,15346.8,15960.67,613.87,0.04
2026-12-01,December,Student Services,Donations,6577.2,6840.29,263.09,0.04
2026-12-01,December,Administration,Tuition,136805.76,142277.99,5472.23,0.04
2026-12-01,December,Administration,Grants,21047.04,21888.92,841.88,0.04
2026-12-01,December,Administration,Auxiliary,12277.44,12768.54,491.1,0.04
2026-12-01,December,Administration,Donations,5261.76,5472.24,210.48,0.04
