invoice_id,student_id,department,billing_period,due_date,payment_date,amount_due,amount_paid,outstanding,status,days_overdue
INV-01-ENG-001,STU-01001,Engineering,2026-01-01,2026-01-12,2026-01-11,24750,24750,0,Paid,0
INV-01-ENG-002,STU-01002,Engineering,2026-01-01,2026-01-13,2026-01-11,26730,26730,0,Paid,0
INV-01-ENG-003,STU-01003,Engineering,2026-01-01,2026-01-14,2026-01-11,28710,28710,0,Paid,0
INV-01-ENG-004,STU-01004,Engineering,2026-01-01,2026-01-15,2026-01-11,30690,30690,0,Paid,0
INV-01-ENG-005,STU-01005,Engineering,2026-01-01,2026-01-16,2026-01-15,32670,32670,0,Paid,0
INV-01-ENG-006,STU-01006,Engineering,2026-01-01,2026-01-17,2026-01-15,24750,24750,0,Paid,0
INV-01-ENG-007,STU-01007,Engineering,2026-01-01,2026-01-18,2026-01-15,26730,26730,0,Paid,0
INV-01-ENG-008,STU-01008,Engineering,2026-01-01,2026-01-19,2026-01-15,28710,28710,0,Paid,0
INV-01-ENG-009,STU-01009,Engineering,2026-01-01,2026-01-12,2026-01-11,30690,30690,0,Paid,0
INV-01-ENG-010,STU-01010,Engineering,2026-01-01,2026-01-13,2026-01-11,32670,32670,0,Paid,0
INV-01-ENG-011,STU-01011,Engineering,2026-01-01,2026-01-14,2026-01-11,24750,24750,0,Paid,0
INV-01-ENG-012,STU-01012,Engineering,2026-01-01,2026-01-15,2026-01-11,26730,26730,0,Paid,0
INV-01-ENG-013,STU-01013,Engineering,2026-01-01,2026-01-16,2026-01-15,28710,28710,0,Paid,0
INV-01-ENG-014,STU-01014,Engineering,2026-01-01,2026-01-17,2026-01-15,30690,30690,0,Paid,0
INV-01-ENG-015,STU-01015,Engineering,2026-01-01,2026-01-18,2026-01-15,32670,32670,0,Paid,0
INV-01-ENG-016,STU-01016,Engineering,2026-01-01,2026-01-19,2026-01-15,24750,24750,0,Paid,0
INV-01-BUS-001,STU-01017,Business,2026-01-01,2026-01-12,2026-01-11,22667,22667,0,Paid,0
INV-01-BUS-002,STU-01018,Business,2026-01-01,2026-01-13,2026-01-11,24481,24481,0,Paid,0
INV-01-BUS-003,STU-01019,Business,2026-01-01,2026-01-14,2026-01-11,26294,26294,0,Paid,0
INV-01-BUS-004,STU-01020,Business,2026-01-01,2026-01-15,2026-01-11,28107,28107,0,Paid,0
INV-01-BUS-005,STU-01021,Business,2026-01-01,2026-01-16,2026-01-15,29921,29921,0,Paid,0
INV-01-BUS-006,STU-01022,Business,2026-01-01,2026-01-17,2026-01-15,22667,22667,0,Paid,0
INV-01-BUS-007,STU-01023,Business,2026-01-01,2026-01-18,2026-01-15,24480,24480,0,Paid,0
INV-01-BUS-008,STU-01024,Business,2026-01-01,2026-01-19,2026-01-15,26294,26294,0,Paid,0
INV-01-BUS-009,STU-01025,Business,2026-01-01,2026-01-12,2026-01-11,28107,28107,0,Paid,0
INV-01-BUS-010,STU-01026,Business,2026-01-01,2026-01-13,2026-01-11,29921,29921,0,Paid,0
INV-01-BUS-011,STU-01027,Business,2026-01-01,2026-01-14,2026-01-11,22667,22667,0,Paid,0
INV-01-BUS-012,STU-01028,Business,2026-01-01,2026-01-15,2026-01-11,24480,24480,0,Paid,0
INV-01-BUS-013,STU-01029,Business,2026-01-01,2026-01-16,2026-01-15,26294,26294,0,Paid,0
INV-01-BUS-014,STU-01030,Business,2026-01-01,2026-01-17,2026-01-15,28107,28107,0,Paid,0
INV-01-BUS-015,STU-01031,Business,2026-01-01,2026-01-18,2026-01-15,29921,29921,0,Paid,0
INV-01-BUS-016,STU-01032,Business,2026-01-01,2026-01-19,2026-01-15,22667,22667,0,Paid,0
INV-01-HEA-001,STU-01033,Health Sciences,2026-01-01,2026-01-12,2026-01-11,23112,23112,0,Paid,0
INV-01-HEA-002,STU-01034,Health Sciences,2026-01-01,2026-01-13,2026-01-11,24960,24960,0,Paid,0
INV-01-HEA-003,STU-01035,Health Sciences,2026-01-01,2026-01-14,2026-01-11,26809,26809,0,Paid,0
INV-01-HEA-004,STU-01036,Health Sciences,2026-01-01,2026-01-15,2026-01-11,28658,28658,0,Paid,0
INV-01-HEA-005,STU-01037,Health Sciences,2026-01-01,2026-01-16,2026-01-15,30507,30507,0,Paid,0
INV-01-HEA-006,STU-01038,Health Sciences,2026-01-01,2026-01-17,2026-01-15,23112,23112,0,Paid,0
INV-01-HEA-007,STU-01039,Health Sciences,2026-01-01,2026-01-18,2026-01-15,24960,24960,0,Paid,0
INV-01-HEA-008,STU-01040,Health Sciences,2026-01-01,2026-01-19,2026-01-15,26809,26809,0,Paid,0
INV-01-HEA-009,STU-01041,Health Sciences,2026-01-01,2026-01-12,2026-01-11,28658,28658,0,Paid,0
INV-01-HEA-010,STU-01042,Health Sciences,2026-01-01,2026-01-13,2026-01-11,30507,30507,0,Paid,0
INV-01-HEA-011,STU-01043,Health Sciences,2026-01-01,2026-01-14,2026-01-11,23112,23112,0,Paid,0
INV-01-HEA-012,STU-01044,Health Sciences,2026-01-01,2026-01-15,2026-01-11,24960,24960,0,Paid,0
INV-01-HEA-013,STU-01045,Health Sciences,2026-01-01,2026-01-16,2026-01-15,26809,26809,0,Paid,0
INV-01-HEA-014,STU-01046,Health Sciences,2026-01-01,2026-01-17,2026-01-15,28658,28658,0,Paid,0
INV-01-HEA-015,STU-01047,Health Sciences,2026-01-01,2026-01-18,2026-01-15,30507,30507,0,Paid,0
INV-01-HEA-016,STU-01048,Health Sciences,2026-01-01,2026-01-19,2026-01-15,23112,23112,0,Paid,0
INV-02-ENG-001,STU-01049,Engineering,2026-02-01,2026-02-12,2026-02-11,26400,26400,0,Paid,0
INV-02-ENG-002,STU-01050,Engineering,2026-02-01,2026-02-13,2026-02-11,28512,28512,0,Paid,0
INV-02-ENG-003,STU-01051,Engineering,2026-02-01,2026-02-14,2026-02-11,30624,30624,0,Paid,0
INV-02-ENG-004,STU-01052,Engineering,2026-02-01,2026-02-15,2026-02-11,32736,32736,0,Paid,0
INV-02-ENG-005,STU-01053,Engineering,2026-02-01,2026-02-16,2026-02-15,34848,34848,0,Paid,0
INV-02-ENG-006,STU-01054,Engineering,2026-02-01,2026-02-17,2026-02-15,26400,26400,0,Paid,0
INV-02-ENG-007,STU-01055,Engineering,2026-02-01,2026-02-18,2026-02-15,28512,28512,0,Paid,0
INV-02-ENG-008,STU-01056,Engineering,2026-02-01,2026-02-19,2026-02-15,30624,30624,0,Paid,0
INV-02-ENG-009,STU-01057,Engineering,2026-02-01,2026-02-12,2026-02-11,32736,32736,0,Paid,0
INV-02-ENG-010,STU-01058,Engineering,2026-02-01,2026-02-13,2026-02-11,34848,34848,0,Paid,0
INV-02-ENG-011,STU-01059,Engineering,2026-02-01,2026-02-14,2026-02-11,26400,26400,0,Paid,0
INV-02-ENG-012,STU-01060,Engineering,2026-02-01,2026-02-15,2026-02-11,28512,28512,0,Paid,0
INV-02-ENG-013,STU-01061,Engineering,2026-02-01,2026-02-16,2026-02-15,30624,30624,0,Paid,0
INV-02-ENG-014,STU-01062,Engineering,2026-02-01,2026-02-17,2026-02-15,32736,32736,0,Paid,0
INV-02-ENG-015,STU-01063,Engineering,2026-02-01,2026-02-18,2026-02-15,34848,34848,0,Paid,0
INV-02-ENG-016,STU-01064,Engineering,2026-02-01,2026-02-19,2026-02-15,26400,26400,0,Paid,0
INV-02-BUS-001,STU-01065,Business,2026-02-01,2026-02-12,2026-02-11,24178,24178,0,Paid,0
INV-02-BUS-002,STU-01066,Business,2026-02-01,2026-02-13,2026-02-11,26113,26113,0,Paid,0
INV-02-BUS-003,STU-01067,Business,2026-02-01,2026-02-14,2026-02-11,28047,28047,0,Paid,0
INV-02-BUS-004,STU-01068,Business,2026-02-01,2026-02-15,2026-02-11,29981,29981,0,Paid,0
INV-02-BUS-005,STU-01069,Business,2026-02-01,2026-02-16,2026-02-15,31915,31915,0,Paid,0
INV-02-BUS-006,STU-01070,Business,2026-02-01,2026-02-17,2026-02-15,24178,24178,0,Paid,0
INV-02-BUS-007,STU-01071,Business,2026-02-01,2026-02-18,2026-02-15,26113,26113,0,Paid,0
INV-02-BUS-008,STU-01072,Business,2026-02-01,2026-02-19,2026-02-15,28047,28047,0,Paid,0
INV-02-BUS-009,STU-01073,Business,2026-02-01,2026-02-12,2026-02-11,29981,29981,0,Paid,0
INV-02-BUS-010,STU-01074,Business,2026-02-01,2026-02-13,2026-02-11,31915,31915,0,Paid,0
INV-02-BUS-011,STU-01075,Business,2026-02-01,2026-02-14,2026-02-11,24178,24178,0,Paid,0
INV-02-BUS-012,STU-01076,Business,2026-02-01,2026-02-15,2026-02-11,26113,26113,0,Paid,0
INV-02-BUS-013,STU-01077,Business,2026-02-01,2026-02-16,2026-02-15,28047,28047,0,Paid,0
INV-02-BUS-014,STU-01078,Business,2026-02-01,2026-02-17,2026-02-15,29981,29981,0,Paid,0
INV-02-BUS-015,STU-01079,Business,2026-02-01,2026-02-18,2026-02-15,31915,31915,0,Paid,0
INV-02-BUS-016,STU-01080,Business,2026-02-01,2026-02-19,2026-02-15,24178,24178,0,Paid,0
INV-02-HEA-001,STU-01081,Health Sciences,2026-02-01,2026-02-12,2026-02-11,24652,24652,0,Paid,0
INV-02-HEA-002,STU-01082,Health Sciences,2026-02-01,2026-02-13,2026-02-11,26624,26624,0,Paid,0
INV-02-HEA-003,STU-01083,Health Sciences,2026-02-01,2026-02-14,2026-02-11,28597,28597,0,Paid,0
INV-02-HEA-004,STU-01084,Health Sciences,2026-02-01,2026-02-15,2026-02-11,30569,30569,0,Paid,0
INV-02-HEA-005,STU-01085,Health Sciences,2026-02-01,2026-02-16,2026-02-15,32541,32541,0,Paid,0
INV-02-HEA-006,STU-01086,Health Sciences,2026-02-01,2026-02-17,2026-02-15,24652,24652,0,Paid,0
INV-02-HEA-007,STU-01087,Health Sciences,2026-02-01,2026-02-18,2026-02-15,26624,26624,0,Paid,0
INV-02-HEA-008,STU-01088,Health Sciences,2026-02-01,2026-02-19,2026-02-15,28597,28597,0,Paid,0
INV-02-HEA-009,STU-01089,Health Sciences,2026-02-01,2026-02-12,2026-02-11,30569,30569,0,Paid,0
INV-02-HEA-010,STU-01090,Health Sciences,2026-02-01,2026-02-13,2026-02-11,32541,32541,0,Paid,0
INV-02-HEA-011,STU-01091,Health Sciences,2026-02-01,2026-02-14,2026-02-11,24652,24652,0,Paid,0
INV-02-HEA-012,STU-01092,Health Sciences,2026-02-01,2026-02-15,2026-02-11,26624,26624,0,Paid,0
INV-02-HEA-013,STU-01093,Health Sciences,2026-02-01,2026-02-16,2026-02-15,28596,28596,0,Paid,0
INV-02-HEA-014,STU-01094,Health Sciences,2026-02-01,2026-02-17,2026-02-15,30569,30569,0,Paid,0
